MARKET_ID,CITY,CAT,DEPT CODE,DEPARTMENT NAME,CLIENT_UPC,UNIQUE_ID,BRAND,ITEM_DESCRIPTION,RICHTER,VENDOR .,VELOCITY,MSRP,PRICES REQUIRED,RETAILER,RETAIL,PRICE,NEXCOM_WEIGHTED_RETAIL,COMP_WEIGHTED_RETAIL
1,NORFOLK,,C8,AUTOMOTIVE,007724920032,007724920032,Blue Coral,Black Magic Tire Wet/Tire Dressing 23 oz,12647,,2523,5.99,3,WALMART SUPERCENTER,5.27,5.19,13094.37,13296.21
19,BETHESDA,,C8,AUTOMOTIVE,000910038196,000910038196,FRAM,FRAM PH3593A Oil Filter,30974,,4350,4.99,3,PEP BOYS,4.29,4.49,19531.5,18661.5
19,BETHESDA,,C8,AUTOMOTIVE,000910038196,000910038196,FRAM,FRAM PH3593A Oil Filter,30974,,4350,4.99,3,WALMART SUPERCENTER,3.88,4.49,19531.5,16878
19,BETHESDA,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,PEP BOYS,7.99,5.79,10422,14382
1,NORFOLK,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,AUTO ZONE,7.99,5.79,10422,14382
19,BETHESDA,,C8,AUTOMOTIVE,000910038196,000910038196,FRAM,FRAM PH3593A Oil Filter,30974,,4350,4.99,3,TARGET STORE,3.88,4.49,19531.5,16878
1,NORFOLK,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,TARGET STORE,5.99,5.79,10422,10782
1,NORFOLK,,C8,AUTOMOTIVE,007724920032,007724920032,Blue Coral,Black Magic Tire Wet/Tire Dressing 23 oz,12647,,2523,5.99,3,PEP BOYS,6.69,5.19,13094.37,16878.87
1,NORFOLK,,C8,AUTOMOTIVE,007061210160,007061210160,Armorall,ArmorAll Original Protectant 16 oz,,10160,10202,6.99,3,AUTO ZONE,6.99,4.79,48867.58,71311.98
7,EVERETT,,C8,AUTOMOTIVE,000910038196,000910038196,FRAM,FRAM PH3593A Oil Filter,30974,,4350,4.99,3,TARGET STORE,3.88,4.49,19531.5,16878
7,EVERETT,,C8,AUTOMOTIVE,000910038196,000910038196,FRAM,FRAM PH3593A Oil Filter,30974,,4350,4.99,3,PEP BOYS,4.29,4.49,19531.5,18661.5
1,NORFOLK,,C8,AUTOMOTIVE,007061210160,007061210160,Armorall,ArmorAll Original Protectant 16 oz,,10160,10202,6.99,3,TARGET STORE,5.39,4.79,48867.58,54988.78
1,NORFOLK,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,WALMART SUPERCENTER,5.74,5.79,10422,10332
1,NORFOLK,,C8,AUTOMOTIVE,007061210160,007061210160,Armorall,ArmorAll Original Protectant 16 oz,,10160,10202,6.99,3,WALMART SUPERCENTER,4.97,4.79,48867.58,50703.94
7,EVERETT,,C8,AUTOMOTIVE,007061210160,007061210160,Armorall,ArmorAll Original Protectant 16 oz,,10160,10202,6.99,3,AUTO ZONE,6.99,4.79,48867.58,71311.98
7,EVERETT,,C8,AUTOMOTIVE,007061210160,007061210160,Armorall,ArmorAll Original Protectant 16 oz,,10160,10202,6.99,3,PEP BOYS,6.79,4.79,48867.58,69271.58
1,NORFOLK,,C8,AUTOMOTIVE,007724920032,007724920032,Blue Coral,Black Magic Tire Wet/Tire Dressing 23 oz,12647,,2523,5.99,3,AUTO ZONE,5.99,5.19,13094.37,15112.77
1,NORFOLK,,C8,AUTOMOTIVE,079749687167,079749687167,Prestone,Prestone Quick Fill 50/50 Antifreeze,,915706,18180,10.99,3,TARGET STORE,10.89,9.99,181618.2,197980.2
7,EVERETT,,C8,AUTOMOTIVE,007061210160,007061210160,Armorall,ArmorAll Original Protectant 16 oz,,10160,10202,6.99,3,WALMART SUPERCENTER,4.47,4.79,48867.58,45602.94
1,NORFOLK,,C8,AUTOMOTIVE,079749687167,079749687167,Prestone,Prestone Quick Fill 50/50 Antifreeze,,915706,18180,10.99,3,AUTO ZONE,12.99,9.99,181618.2,236158.2
19,BETHESDA,,C8,AUTOMOTIVE,007061210160,007061210160,Armorall,ArmorAll Original Protectant 16 oz,,10160,10202,6.99,3,PEP BOYS,6.79,4.79,48867.58,69271.58
19,BETHESDA,,C8,AUTOMOTIVE,007061210160,007061210160,Armorall,ArmorAll Original Protectant 16 oz,,10160,10202,6.99,3,WALMART SUPERCENTER,4.97,4.79,48867.58,50703.94
7,EVERETT,,C8,AUTOMOTIVE,007724920032,007724920032,Blue Coral,Black Magic Tire Wet/Tire Dressing 23 oz,12647,,2523,5.99,3,OREILLY AUTO PARTS,5.99,5.19,13094.37,15112.77
7,EVERETT,,C8,AUTOMOTIVE,007724920032,007724920032,Blue Coral,Black Magic Tire Wet/Tire Dressing 23 oz,12647,,2523,5.99,3,AUTO ZONE,5.99,5.19,13094.37,15112.77
1,NORFOLK,,C8,AUTOMOTIVE,079749687167,079749687167,Prestone,Prestone Quick Fill 50/50 Antifreeze,,915706,18180,10.99,3,WALMART SUPERCENTER,8.88,9.99,181618.2,161438.4
7,EVERETT,,C8,AUTOMOTIVE,007724920032,007724920032,Blue Coral,Black Magic Tire Wet/Tire Dressing 23 oz,12647,,2523,5.99,3,WALMART SUPERCENTER,4.47,5.19,13094.37,11277.81
7,EVERETT,,C8,AUTOMOTIVE,079749687167,079749687167,Prestone,Prestone Quick Fill 50/50 Antifreeze,,915706,18180,10.99,3,WALMART SUPERCENTER,8.88,9.99,181618.2,161438.4
7,EVERETT,,C8,AUTOMOTIVE,079749687167,079749687167,Prestone,Prestone Quick Fill 50/50 Antifreeze,,915706,18180,10.99,3,AUTO ZONE,12.99,9.99,181618.2,236158.2
19,BETHESDA,,C8,AUTOMOTIVE,007061210160,007061210160,Armorall,ArmorAll Original Protectant 16 oz,,10160,10202,6.99,3,TARGET STORE,4.79,4.79,48867.58,48867.58
7,EVERETT,,C8,AUTOMOTIVE,079749687167,079749687167,Prestone,Prestone Quick Fill 50/50 Antifreeze,,915706,18180,10.99,3,OREILLY AUTO PARTS,10.99,9.99,181618.2,199798.2
1,NORFOLK,,C8,AUTOMOTIVE,000910038196,000910038196,FRAM,FRAM PH3593A Oil Filter,30974,,4350,4.99,3,WALMART SUPERCENTER,3.88,4.49,19531.5,16878
7,EVERETT,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,WALMART SUPERCENTER,5.74,5.79,10422,10332
7,EVERETT,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,AUTO ZONE,7.99,5.79,10422,14382
7,EVERETT,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,ADVANCE AUTO PARTS,7.99,5.79,10422,14382
19,BETHESDA,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,WALMART SUPERCENTER,5.74,5.79,10422,10332
